Date,Price,Open,High,Low,Vol.,Change %,decimal_change,lag_1_day,lag_3_day,lag_5_day
2025-03-31,"1,107.00","1,107.00","1,107.00","1,107.00",,0.18%,0.18,,,
2025-03-28,"1,105.00","1,105.00","1,105.00","1,105.00",,0.27%,0.27,0.18,,
2025-03-27,"1,102.00","1,102.00","1,102.00","1,102.00",,9.00%,9.0,0.27,,
2025-03-25,"1,011.00","1,011.00","1,011.00","1,011.00",,1.71%,1.71,9.0,0.18,
2025-03-24,994.00,994.00,994.00,994.00,,12.83%,12.83,1.71,0.27,
2025-03-06,881.00,881.00,881.00,881.00,,-0.23%,-0.23,12.83,9.0,0.18
2025-03-05,883.00,883.00,883.00,883.00,,-0.11%,-0.11,-0.23,1.71,0.27
2025-03-04,884.00,884.00,884.00,884.00,,0.34%,0.34,-0.11,12.83,9.0
2025-03-03,881.00,881.00,881.00,881.00,,-0.45%,-0.45,0.34,-0.23,1.71
2025-02-28,885.00,885.00,885.00,885.00,,0.57%,0.57,-0.45,-0.11,12.83
2025-02-27,880.00,880.00,880.00,880.00,,-0.23%,-0.23,0.57,0.34,-0.23
2025-02-26,882.00,882.00,882.00,882.00,,-0.68%,-0.68,-0.23,-0.45,-0.11
2025-02-25,888.00,888.00,888.00,888.00,,-1.33%,-1.33,-0.68,0.57,0.34
2025-02-24,900.00,900.00,900.00,900.00,,-1.21%,-1.21,-1.33,-0.23,-0.45
2025-02-21,911.00,911.00,911.00,911.00,,-0.98%,-0.98,-1.21,-0.68,0.57
2025-02-20,920.00,920.00,920.00,920.00,,-0.54%,-0.54,-0.98,-1.33,-0.23
2025-02-19,925.00,925.00,925.00,925.00,,0.76%,0.76,-0.54,-1.21,-0.68
2025-02-18,918.00,918.00,918.00,918.00,,0.66%,0.66,0.76,-0.98,-1.33
2025-02-17,912.00,912.00,912.00,912.00,,0.22%,0.22,0.66,-0.54,-1.21
2025-02-14,910.00,910.00,910.00,910.00,,1.79%,1.79,0.22,0.76,-0.98
2025-02-13,894.00,894.00,894.00,894.00,,0.45%,0.45,1.79,0.66,-0.54
2025-02-12,890.00,890.00,890.00,890.00,,-0.22%,-0.22,0.45,0.22,0.76
